file	line	old_cerr	new_name	new_num	classification	wording_change
src/ast/ast_infer_type.cpp	79	invalid_type	recursion_type_alias	31106	primary	
src/ast/ast_infer_type.cpp	85	invalid_type	internal_type_alias	50638	internal	
src/ast/ast_infer_type.cpp	91	invalid_type	not_resolved_yet_type_alias	31331	follow_on	
src/ast/ast_infer_type.cpp	155		not_resolved_yet_enumerator	31311	follow_on	current cerr unspecified - should be not_resolved_yet_enumerator
src/ast/ast_infer_type.cpp	167		not_resolved_yet_enumerator	31311	follow_on	current cerr unspecified - should be not_resolved_yet_enumerator
src/ast/ast_infer_type.cpp	170	invalid_enumeration	invalid_enumerator_type	30149	primary	
src/ast/ast_infer_type.cpp	177	invalid_enumeration	invalid_enumerator	30147	primary	
src/ast/ast_infer_type.cpp	218	cant_infer_missing_initializer	missing_structure_field	30320	primary	
src/ast/ast_infer_type.cpp	255		not_resolved_yet_structure_field	31326	follow_on	current cerr unspecified - should be not_resolved_yet_structure_field; vague: clarify what is not resolved
src/ast/ast_infer_type.cpp	265	invalid_structure_field_type	lookup_structure_field_type	30826	primary	
src/ast/ast_infer_type.cpp	272	invalid_structure_field_type	invalid_structure_field_type	30237	primary	
src/ast/ast_infer_type.cpp	286	invalid_structure_field_type	invalid_structure_field_type	30237	primary	
src/ast/ast_infer_type.cpp	289	invalid_structure_field_type	invalid_structure_field_type	30237	primary	
src/ast/ast_infer_type.cpp	295	unsafe	unsafe_structure_field	31030	primary	
src/ast/ast_infer_type.cpp	305	invalid_initialization_type	cant_structure_field	30947	primary	
src/ast/ast_infer_type.cpp	312	invalid_initialization_type	invalid_structure_field_init	30236	wording_fix	typo: missing space, '<name>can't' -> '<name> can't'
src/ast/ast_infer_type.cpp	315	cant_move	cant_structure_field	30947	primary	
src/ast/ast_infer_type.cpp	360	invalid_type	recursion_structure	31105	primary	
src/ast/ast_infer_type.cpp	370	unsafe	unsafe_global	31014	primary	
src/ast/ast_infer_type.cpp	375	no_global_variables	invalid_global_options	30176	primary	
src/ast/ast_infer_type.cpp	379	cant_infer_missing_initializer	missing_global_init	30312	primary	
src/ast/ast_infer_type.cpp	387	invalid_type	lookup_global_type	30817	primary	
src/ast/ast_infer_type.cpp	403	cant_infer_mismatching_restrictions	invalid_global_init_type	30175	primary	
src/ast/ast_infer_type.cpp	420	invalid_initialization_type	invalid_global_init_type	30175	primary	
src/ast/ast_infer_type.cpp	423	invalid_initialization_type	invalid_global_init_type	30175	primary	
src/ast/ast_infer_type.cpp	426	cant_move	cant_global	30930	primary	
src/ast/ast_infer_type.cpp	429	cant_copy	cant_global	30930	primary	
src/ast/ast_infer_type.cpp	436	cant_move	cant_global	30930	primary	
src/ast/ast_infer_type.cpp	467	no_init	invalid_global_init_options	30174	primary	
src/ast/ast_infer_type.cpp	480	invalid_variable_type	invalid_global_type	30179	primary	
src/ast/ast_infer_type.cpp	483	invalid_variable_type	invalid_global_type	30179	primary	
src/ast/ast_infer_type.cpp	486	invalid_variable_type	invalid_global_type	30179	primary	
src/ast/ast_infer_type.cpp	489	invalid_variable_type	invalid_global_shared	30178	primary	
src/ast/ast_infer_type.cpp	492	invalid_variable_type	missing_global_shared_init	30313	primary	
src/ast/ast_infer_type.cpp	496	invalid_variable_type	invalid_global_type_shared	30180	primary	
src/ast/ast_infer_type.cpp	501	unsafe	unsafe_global_pointer	31015	primary	
src/ast/ast_infer_type.cpp	505	invalid_variable_type	missing_global_init	30312	primary	
src/ast/ast_infer_type.cpp	543	too_many_arguments	exceeds_function_argument	30505	primary	
src/ast/ast_infer_type.cpp	547	no_init	invalid_function_options	30164	primary	
src/ast/ast_infer_type.cpp	558	type_not_found	lookup_function_argument_type	30812	primary	
src/ast/ast_infer_type.cpp	563	invalid_type	invalid_function_argument_type	30161	primary	
src/ast/ast_infer_type.cpp	570	cant_infer_generic	already_declared_function	30702	recategorize	recategorize: cant_infer_generic - actually a name collision; should be already_declared_function
src/ast/ast_infer_type.cpp	585	cant_infer_generic	invalid_function_argument_type	30161	primary	
src/ast/ast_infer_type.cpp	596	invalid_type	invalid_function_argument_type	30161	primary	
src/ast/ast_infer_type.cpp	600	invalid_type	invalid_function_argument_type	30161	primary	
src/ast/ast_infer_type.cpp	607	cant_infer_generic	not_resolved_yet_function	31313	primary	
src/ast/ast_infer_type.cpp	620	expecting_return_value	missing_function_result	30310	primary	
src/ast/ast_infer_type.cpp	633	type_not_found	lookup_function_result_type	30814	primary	
src/ast/ast_infer_type.cpp	639	invalid_return_type	invalid_function_result_type	30167	primary	
src/ast/ast_infer_type.cpp	658	invalid_return_type	invalid_function_result_type	30167	primary	
src/ast/ast_infer_type.cpp	677	unspecified	internal_function_changed	50611	internal	current cerr unspecified - should be internal_function_changed
src/ast/ast_infer_type.cpp	783	invalid_enumeration	not_resolved_yet_enumerator	31311	follow_on	
src/ast/ast_infer_type.cpp	843	type_not_found	not_resolved_yet_label_type	31319	follow_on	
src/ast/ast_infer_type.cpp	848	invalid_label	invalid_label_type	30194	primary	
src/ast/ast_infer_type.cpp	871	invalid_label	lookup_label	30819	primary	
src/ast/ast_infer_type.cpp	885	unsupported_read_macro	invalid_macro_read	30204	primary	
src/ast/ast_infer_type.cpp	893	invalid_label	already_declared_label	30703	primary	
src/ast/ast_infer_type.cpp	936	invalid_type	cant_dereference	30921	recategorize	recategorize: invalid_type - actually a deref fault; should be cant_dereference
src/ast/ast_infer_type.cpp	940	invalid_type	cant_dereference	30921	recategorize	recategorize: invalid_type - should be cant_dereference
src/ast/ast_infer_type.cpp	961	type_not_found	lookup_function_address_type	30811	primary	
src/ast/ast_infer_type.cpp	967	type_not_found	lookup_function_type	30815	primary	
src/ast/ast_infer_type.cpp	977	type_not_found	invalid_function_type	30168	recategorize	recategorize: type_not_found - actually wrong-type fault; should be invalid_function_type
src/ast/ast_infer_type.cpp	997	function_not_found	cant_address_template_function	30903	recategorize	recategorize: function_not_found - actually a forbidden-op; should be cant_address_template_function
src/ast/ast_infer_type.cpp	1007	function_not_found	lookup_function	30810	primary	
src/ast/ast_infer_type.cpp	1012	function_not_found	lookup_function	30810	mid_inference	
src/ast/ast_infer_type.cpp	1036	type_not_found	cant_address_function	30902	recategorize	recategorize: type_not_found - actually forbidden; should be cant_address_builtin_function
src/ast/ast_infer_type.cpp	1054	type_not_found	not_resolved_yet_dereference_type	31310	follow_on	
